,ESPECIE,SEXO,HABITAT,PESO_g,TAMANHO_cm,BICO_mm,ASA_cm
5714,ARARA AZUL,MACHO,MARAJO,1285.208,92.552,98.946,36.064
5715,ARARA AZUL,MACHO,MARAJO,1189.463,99.078,105.011,36.261
5716,ANAMBE,FEMEA,MARAJO,74.299,23.575,14.112,14.02
5717,PICA-PAU,FEMEA,MOSQUEIRO,61.501,19.916,23.568,9.409
5718,ANAMBE,MACHO,MOSQUEIRO,85.493,24.943,15.167,11.301
5719,ARARA AZUL,MACHO,MARAJO,1263.745,109.952,93.379,46.538
5720,ARARA AZUL,MACHO,MARAJO,1332.73,109.189,96.088,33.634
5721,ARARA AZUL,FEMEA,MARAJO,997.985,90.763,90.793,36.367
5722,PICA-PAU,FEMEA,MOSQUEIRO,56.932,19.205,23.954,11.48
5723,PICA-PAU,FEMEA,MOSQUEIRO,55.418,19.434,23.331,9.743
5724,PICA-PAU,FEMEA,MOSQUEIRO,52.632,23.987,21.965,9.276
5725,PICA-PAU,FEMEA,MOSQUEIRO,58.526,20.547,24.466,10.532
5726,ANAMBE,FEMEA,MOSQUEIRO,84.522,20.134,12.554,13.633
5727,ANAMBE,MACHO,MOSQUEIRO,77.396,19.33,14.272,15.275
5728,ANAMBE,MACHO,MOSQUEIRO,87.01,19.691,14.891,15.886
5729,ARARA AZUL,FEMEA,MARAJO,818.915,,75.697,32.471
5730,ANAMBE,MACHO,MARAJO,94.367,22.565,15.61,12.541
5731,ANAMBE,MACHO,MARAJO,81.751,26.076,17.308,14.517
5732,ANAMBE,MACHO,MOSQUEIRO,87.339,21.697,14.471,13.284
5733,ANAMBE,MACHO,MOSQUEIRO,79.555,18.242,15.069,13.673
5734,PICA-PAU,FEMEA,MOSQUEIRO,49.874,22.292,22.206,10.627
5735,PICA-PAU,FEMEA,MOSQUEIRO,52.063,20.114,19.648,9.936
5736,ARARA AZUL,MACHO,MARAJO,1585.681,100.578,87.309,39.19
5737,PICA-PAU,MACHO,MOSQUEIRO,70.153,26.948,25.375,13.453
5738,ANAMBE,MACHO,MOSQUEIRO,79.884,17.473,14.53,13.723
5739,ARARA AZUL,MACHO,MARAJO,1431.328,110.562,101.249,40.694
5740,ARARA AZUL,MACHO,MARAJO,1238.332,101.386,100.631,43.011
5741,ANAMBE,MACHO,MARAJO,84.018,26.47,17.412,16.518
5742,PICA-PAU,FEMEA,MOSQUEIRO,56.013,,21.333,9.977
5743,PICA-PAU,MACHO,MOSQUEIRO,62.568,21.824,25.183,12.646
5744,PICA-PAU,FEMEA,MOSQUEIRO,56.67,23.975,23.97,9.129
5745,ANAMBE,MACHO,MOSQUEIRO,77.454,19.626,15.5,15.367
5746,ANAMBE,MACHO,MOSQUEIRO,78.015,22.751,16.128,12.469
5747,ANAMBE,MACHO,MOSQUEIRO,73.727,18.489,16.525,8.677
5748,PICA-PAU,FEMEA,MOSQUEIRO,56.635,20.106,20.247,10.857
5749,ANAMBE,FEMEA,MOSQUEIRO,58.631,21.044,13.687,15.666
5750,ANAMBE,FEMEA,MARAJO,68.046,19.082,15.947,11.057
5751,ARARA AZUL,FEMEA,MARAJO,1171.507,87.11,92.716,27.833
5752,ANAMBE,MACHO,MARAJO,92.996,22.39,17.247,13.177
5753,PICA-PAU,MACHO,MOSQUEIRO,74.621,26.944,24.446,12.217
5754,PICA-PAU,FEMEA,MOSQUEIRO,51.756,19.124,20.12,11.014
5755,ANAMBE,MACHO,MOSQUEIRO,76.524,20.298,13.746,13.469
5756,PICA-PAU,FEMEA,MOSQUEIRO,50.353,20.232,21.164,11.004
5757,ANAMBE,MACHO,MOSQUEIRO,81.602,23.604,14.74,13.174
5758,ARARA AZUL,FEMEA,MARAJO,1224.104,86.841,96.822,31.92
5759,ANAMBE,MACHO,MOSQUEIRO,78.102,18.669,15.883,14.105
5760,ARARA AZUL,MACHO,MARAJO,1324.452,95.128,94.448,37.665
5761,ANAMBE,MACHO,MOSQUEIRO,70.217,19.247,15.133,13.114
5762,PICA-PAU,FEMEA,MOSQUEIRO,56.682,23.42,22.78,7.806
5763,PICA-PAU,FEMEA,MOSQUEIRO,50.166,22.768,23.119,10.082
5764,PICA-PAU,FEMEA,MOSQUEIRO,63.035,20.026,21.526,11.054
5765,ARARA AZUL,FEMEA,MARAJO,1115.028,92.608,92.66,38.724
5766,ANAMBE,FEMEA,MOSQUEIRO,73.166,18.578,13.459,14.132
5767,ARARA AZUL,MACHO,MARAJO,1435.783,99.342,97.489,40.079
5768,ANAMBE,FEMEA,MOSQUEIRO,70.529,16.493,10.736,14.284
5769,ANAMBE,MACHO,MOSQUEIRO,81.901,21.612,14.615,12.894
5770,ANAMBE,FEMEA,MOSQUEIRO,72.219,17.96,11.361,13.425
5771,ARARA AZUL,MACHO,MARAJO,1332.092,98.735,98.183,42.104
5772,ARARA AZUL,MACHO,MARAJO,1226.033,91.164,93.55,34.789
5773,ARARA AZUL,MACHO,MARAJO,1139.786,94.727,96.726,38.554
5774,ARARA AZUL,MACHO,MARAJO,1264.905,96.92,96.803,34.914
5775,ANAMBE,MACHO,MARAJO,82.929,27.079,16.126,13.365
5776,PICA-PAU,MACHO,MOSQUEIRO,56.806,20.946,25.486,11.96
5777,PICA-PAU,FEMEA,MOSQUEIRO,61.307,20.893,23.195,9.017
5778,ANAMBE,FEMEA,MOSQUEIRO,76.182,14.735,11.892,15.955
5779,PICA-PAU,FEMEA,MOSQUEIRO,54.326,19.904,20.481,7.88
5780,ARARA AZUL,FEMEA,MARAJO,811.036,100.91,85.664,33.74
5781,ANAMBE,FEMEA,MOSQUEIRO,69.428,20.933,11.327,15.467
5782,ANAMBE,FEMEA,MOSQUEIRO,74.265,18.72,12.915,17.368
5783,ARARA AZUL,FEMEA,MARAJO,1018.424,88.597,85.633,30.596
5784,PICA-PAU,FEMEA,MOSQUEIRO,57.187,18.484,23.639,9.751
5785,ARARA AZUL,MACHO,MARAJO,1575.856,107.986,98.213,40.321
5786,ARARA AZUL,MACHO,MARAJO,1635.785,101.489,100.22,41.387
5787,ARARA AZUL,MACHO,MARAJO,1418.588,101.801,96.058,28.735
5788,ARARA AZUL,MACHO,MARAJO,1600.946,94.79,86.545,37.293
5789,ANAMBE,MACHO,MOSQUEIRO,82.256,21.115,17.477,14.403
5790,ARARA AZUL,FEMEA,MARAJO,1011.077,100.303,80.376,27.253
5791,ANAMBE,MACHO,MARAJO,85.905,28.043,18.884,15.21
5792,ARARA AZUL,MACHO,MARAJO,1473.685,98.139,106.28,36.184
5793,ARARA AZUL,MACHO,MARAJO,1499.413,93.904,100.793,35.869
5794,ANAMBE,MACHO,MARAJO,86.351,23.602,17.824,11.832
5795,ARARA AZUL,MACHO,MARAJO,1664.636,101.072,94.139,31.145
5796,ARARA AZUL,FEMEA,MARAJO,1265.607,90.025,85.868,31.426
5797,ANAMBE,FEMEA,MOSQUEIRO,73.943,17.133,13.426,16.543
5798,PICA-PAU,MACHO,MOSQUEIRO,62.623,21.714,24.281,12.862
5799,ARARA AZUL,FEMEA,MARAJO,1165.489,86.142,90.097,28.745
5800,ANAMBE,MACHO,MOSQUEIRO,76.292,21.068,15.179,12.471
5801,ARARA AZUL,MACHO,MARAJO,1252.049,103.613,101.515,34.534
5802,ANAMBE,FEMEA,MOSQUEIRO,66.485,17.346,14.175,14.268
5803,ARARA AZUL,FEMEA,MARAJO,1045.405,100.001,84.739,35.882
5804,ANAMBE,MACHO,MARAJO,91.622,21.233,17.0,17.95
5805,ANAMBE,MACHO,MARAJO,79.662,20.424,17.172,16.829
5806,PICA-PAU,MACHO,MOSQUEIRO,72.316,26.772,27.166,10.175
5807,PICA-PAU,MACHO,MOSQUEIRO,58.913,20.75,25.094,11.064
5808,ANAMBE,MACHO,MOSQUEIRO,80.679,22.887,14.146,11.325
5809,ANAMBE,MACHO,MOSQUEIRO,90.509,20.089,16.154,12.624
5810,ANAMBE,FEMEA,MOSQUEIRO,74.177,17.299,11.686,11.287
5811,ANAMBE,FEMEA,MOSQUEIRO,65.604,11.195,13.029,13.256
5812,ANAMBE,MACHO,MOSQUEIRO,74.153,20.483,14.47,14.702
5813,ANAMBE,FEMEA,MOSQUEIRO,66.405,17.053,13.117,13.128
5814,ANAMBE,FEMEA,MARAJO,70.666,19.318,17.009,10.621
5815,ANAMBE,MACHO,MOSQUEIRO,80.94,18.379,15.641,12.026
5816,ANAMBE,MACHO,MOSQUEIRO,79.28,19.901,13.621,14.638
5817,ANAMBE,FEMEA,MOSQUEIRO,73.225,16.608,13.446,16.878
5818,ANAMBE,FEMEA,,73.105,18.107,12.36,15.7
5819,ANAMBE,MACHO,MARAJO,78.496,27.576,17.26,15.429
5820,ANAMBE,FEMEA,MOSQUEIRO,71.007,16.227,14.281,14.131
5821,ANAMBE,FEMEA,MOSQUEIRO,65.293,18.808,13.462,10.462
5822,ARARA AZUL,MACHO,MARAJO,1463.804,99.598,102.072,38.25
5823,ANAMBE,MACHO,MOSQUEIRO,82.965,22.151,15.94,12.153
5824,ARARA AZUL,FEMEA,MARAJO,1221.059,84.066,87.981,32.827
5825,PICA-PAU,FEMEA,MOSQUEIRO,47.367,21.552,21.735,10.708
5826,ARARA AZUL,MACHO,MARAJO,1603.07,108.136,94.447,38.682
5827,ANAMBE,FEMEA,MOSQUEIRO,69.473,15.779,12.119,12.02
5828,PICA-PAU,MACHO,MOSQUEIRO,57.268,22.358,23.838,11.309
5829,ANAMBE,FEMEA,MOSQUEIRO,79.086,18.663,12.213,13.787
5830,ARARA AZUL,MACHO,MARAJO,1311.712,101.306,101.992,39.481
5831,ANAMBE,MACHO,MOSQUEIRO,79.989,20.911,16.231,12.929
5832,ANAMBE,FEMEA,MARAJO,69.279,16.533,12.519,12.215
5833,ANAMBE,MACHO,MARAJO,83.966,22.115,16.624,12.691
5834,PICA-PAU,FEMEA,MOSQUEIRO,57.073,22.398,21.281,11.528
5835,ARARA AZUL,MACHO,MARAJO,1575.973,101.318,100.062,39.783
5836,ARARA AZUL,FEMEA,MARAJO,1045.034,93.521,93.82,30.136
5837,ANAMBE,MACHO,MOSQUEIRO,75.245,19.157,15.832,11.596
5838,ARARA AZUL,FEMEA,MARAJO,913.947,100.663,88.181,33.361
5839,ARARA AZUL,MACHO,MARAJO,1197.39,101.927,104.032,33.847
5840,ANAMBE,MACHO,MOSQUEIRO,86.378,20.568,16.136,10.122
5841,PICA-PAU,FEMEA,MOSQUEIRO,56.079,18.543,21.719,10.298
5842,PICA-PAU,MACHO,MOSQUEIRO,68.56,20.518,25.295,12.64
5843,PICA-PAU,MACHO,MOSQUEIRO,56.625,,28.03,13.203
5844,ANAMBE,FEMEA,MOSQUEIRO,61.87,14.78,10.284,16.62
5845,ANAMBE,FEMEA,MOSQUEIRO,57.899,17.726,12.619,14.651
5846,ANAMBE,MACHO,MOSQUEIRO,75.433,22.962,16.806,11.06
5847,PICA-PAU,FEMEA,MOSQUEIRO,50.245,20.158,19.489,9.728
5848,ANAMBE,FEMEA,MARAJO,70.561,16.84,13.719,11.683
5849,PICA-PAU,MACHO,MOSQUEIRO,60.699,22.069,26.386,10.084
5850,PICA-PAU,FEMEA,MOSQUEIRO,49.628,18.763,24.001,8.8
5851,ARARA AZUL,MACHO,MARAJO,1405.721,101.101,93.669,40.182
5852,ANAMBE,FEMEA,MOSQUEIRO,75.508,16.636,13.335,12.415
5853,ANAMBE,MACHO,MARAJO,82.423,19.216,16.015,13.632
5854,ANAMBE,MACHO,MOSQUEIRO,77.886,19.96,14.526,13.416
5855,ARARA AZUL,FEMEA,MARAJO,1270.466,90.97,86.36,27.873
5856,ANAMBE,FEMEA,MARAJO,76.06,21.384,14.062,9.057
5857,PICA-PAU,MACHO,MOSQUEIRO,62.322,23.679,26.202,11.775
5858,ANAMBE,MACHO,MOSQUEIRO,78.689,24.442,14.852,13.939
5859,ARARA AZUL,FEMEA,MARAJO,934.433,88.137,90.807,28.774
5860,ANAMBE,FEMEA,MOSQUEIRO,69.673,17.258,12.59,9.956
5861,ANAMBE,FEMEA,MOSQUEIRO,72.272,15.542,13.049,15.51
5862,PICA-PAU,FEMEA,MOSQUEIRO,49.858,19.376,19.687,10.791
5863,ANAMBE,FEMEA,MARAJO,,15.803,14.403,13.947
5864,ARARA AZUL,MACHO,MARAJO,1163.245,94.556,107.256,36.459
5865,ARARA AZUL,FEMEA,MARAJO,1240.512,84.957,90.287,37.857
5866,ANAMBE,FEMEA,MOSQUEIRO,64.936,16.711,11.775,14.725
5867,PICA-PAU,MACHO,MOSQUEIRO,67.268,22.794,26.762,10.656
5868,ARARA AZUL,MACHO,MARAJO,1613.962,98.827,105.849,37.664
5869,ARARA AZUL,MACHO,MARAJO,1298.107,99.097,92.333,37.393
5870,ANAMBE,FEMEA,MOSQUEIRO,72.422,17.672,12.737,16.492
5871,ARARA AZUL,MACHO,MARAJO,1491.476,109.157,99.195,32.232
5872,ANAMBE,MACHO,MOSQUEIRO,80.672,19.567,14.539,14.321
5873,PICA-PAU,FEMEA,MOSQUEIRO,60.568,,24.208,8.666
5874,ARARA AZUL,MACHO,MARAJO,1365.4,102.909,92.219,37.271
5875,ANAMBE,FEMEA,MOSQUEIRO,69.607,16.435,13.399,13.376
5876,ANAMBE,MACHO,MOSQUEIRO,78.942,22.56,13.868,12.112
5877,ANAMBE,MACHO,MOSQUEIRO,77.647,22.496,16.4,10.244
5878,ARARA AZUL,MACHO,MARAJO,1456.238,98.344,104.595,42.848
5879,ARARA AZUL,MACHO,MARAJO,1372.966,103.29,94.752,33.667
5880,ARARA AZUL,MACHO,MARAJO,1396.29,100.688,105.524,36.713
5881,ARARA AZUL,FEMEA,MARAJO,,84.573,96.963,26.625
5882,ANAMBE,MACHO,MOSQUEIRO,73.843,18.426,15.619,12.863
5883,ANAMBE,MACHO,MOSQUEIRO,78.099,24.521,15.949,12.333
5884,ARARA AZUL,MACHO,MARAJO,1491.418,93.946,95.133,37.068
5885,PICA-PAU,FEMEA,MOSQUEIRO,56.473,22.148,22.673,9.681
5886,PICA-PAU,MACHO,MOSQUEIRO,68.852,25.732,26.922,12.827
5887,ANAMBE,MACHO,MOSQUEIRO,81.339,20.902,15.941,11.227
5888,PICA-PAU,FEMEA,MOSQUEIRO,54.833,20.978,23.054,9.065
5889,ARARA AZUL,MACHO,MARAJO,1572.16,109.924,104.688,37.292
5890,ANAMBE,FEMEA,MOSQUEIRO,76.516,18.731,13.786,15.213
5891,PICA-PAU,MACHO,MOSQUEIRO,66.777,23.486,23.368,11.902
5892,ANAMBE,MACHO,MOSQUEIRO,85.72,20.376,15.457,12.527
5893,ANAMBE,FEMEA,,74.326,16.162,11.799,15.109
5894,ANAMBE,MACHO,MOSQUEIRO,79.584,19.23,14.847,13.764
5895,PICA-PAU,MACHO,MOSQUEIRO,66.735,20.338,25.386,11.847
5896,ANAMBE,MACHO,MOSQUEIRO,76.502,19.648,16.517,15.693
5897,PICA-PAU,FEMEA,MOSQUEIRO,49.261,18.983,23.056,9.416
5898,ANAMBE,MACHO,MOSQUEIRO,80.71,20.833,15.348,14.331
5899,PICA-PAU,FEMEA,MOSQUEIRO,55.44,19.689,21.372,10.593
5900,ANAMBE,FEMEA,MARAJO,71.452,18.798,13.265,13.663
5901,ARARA AZUL,FEMEA,MARAJO,1160.296,88.636,91.794,30.775
5902,ANAMBE,MACHO,MARAJO,84.553,22.935,17.509,11.901
5903,ANAMBE,FEMEA,MOSQUEIRO,73.728,18.524,10.619,14.817
5904,PICA-PAU,FEMEA,MOSQUEIRO,,20.521,23.153,10.318
5905,ARARA AZUL,MACHO,MARAJO,1314.8,98.335,89.798,37.913
5906,ANAMBE,MACHO,MOSQUEIRO,76.324,,16.252,14.742
5907,ANAMBE,FEMEA,MOSQUEIRO,71.07,17.154,12.654,14.149
5908,ARARA AZUL,MACHO,MARAJO,1288.35,96.18,95.077,40.088
5909,ARARA AZUL,FEMEA,MARAJO,1188.493,91.614,83.326,32.209
5910,PICA-PAU,MACHO,MOSQUEIRO,61.055,21.208,25.977,13.155
5911,ANAMBE,FEMEA,MOSQUEIRO,69.422,17.366,12.645,15.557
5912,ARARA AZUL,FEMEA,MARAJO,1198.348,91.08,90.281,39.617
5913,ARARA AZUL,MACHO,MARAJO,1391.079,100.62,91.892,37.337
5914,PICA-PAU,FEMEA,MOSQUEIRO,55.991,21.024,22.473,10.362
5915,ANAMBE,FEMEA,MOSQUEIRO,68.941,15.42,13.144,11.303
5916,ARARA AZUL,FEMEA,MARAJO,1134.971,86.416,86.991,30.858
5917,ARARA AZUL,MACHO,MARAJO,1352.941,98.716,101.494,36.282
5918,ANAMBE,FEMEA,MOSQUEIRO,64.192,17.769,14.578,11.814
5919,PICA-PAU,FEMEA,MOSQUEIRO,43.31,20.988,21.292,11.304
5920,PICA-PAU,MACHO,MOSQUEIRO,63.338,21.457,26.628,12.572
5921,ANAMBE,MACHO,MOSQUEIRO,88.032,20.053,14.299,10.928
5922,PICA-PAU,MACHO,MOSQUEIRO,65.065,19.484,26.634,12.614
5923,ANAMBE,MACHO,MOSQUEIRO,73.138,22.344,15.069,14.493
5924,PICA-PAU,FEMEA,MOSQUEIRO,58.252,21.762,20.497,11.255
5925,PICA-PAU,MACHO,MOSQUEIRO,58.006,22.42,24.718,12.654
5926,ANAMBE,FEMEA,MOSQUEIRO,70.753,16.043,14.972,12.143
5927,ARARA AZUL,MACHO,MARAJO,1291.277,92.659,103.119,36.777
5928,ANAMBE,FEMEA,MOSQUEIRO,57.281,18.674,13.002,13.997
5929,ANAMBE,FEMEA,MOSQUEIRO,65.773,15.448,13.429,14.749
5930,ANAMBE,MACHO,,92.067,20.49,13.782,13.02
5931,PICA-PAU,FEMEA,MOSQUEIRO,54.901,19.627,25.615,9.687
5932,ARARA AZUL,MACHO,MARAJO,1706.174,100.908,95.191,41.415
5933,ARARA AZUL,FEMEA,MARAJO,977.669,89.454,80.393,31.403
5934,PICA-PAU,MACHO,MOSQUEIRO,59.302,22.399,25.519,11.613
5935,ANAMBE,MACHO,MARAJO,76.89,21.563,15.72,14.735
5936,ANAMBE,FEMEA,MOSQUEIRO,83.13,17.066,11.858,12.822
5937,PICA-PAU,FEMEA,MOSQUEIRO,59.24,24.202,23.271,8.277
5938,PICA-PAU,FEMEA,MOSQUEIRO,53.894,21.322,22.493,10.628
5939,PICA-PAU,FEMEA,MOSQUEIRO,64.929,19.843,24.439,9.421
5940,ANAMBE,MACHO,MOSQUEIRO,72.576,21.884,15.705,13.294
5941,ANAMBE,MACHO,MOSQUEIRO,80.634,19.447,14.825,14.94
5942,ANAMBE,FEMEA,MOSQUEIRO,67.891,20.059,13.904,14.167
5943,ANAMBE,MACHO,MOSQUEIRO,71.117,17.806,14.982,13.696
5944,PICA-PAU,MACHO,MOSQUEIRO,68.345,26.935,24.575,10.764
5945,ANAMBE,MACHO,MOSQUEIRO,75.761,19.468,16.358,15.04
5946,ANAMBE,FEMEA,MOSQUEIRO,67.174,,13.557,16.11
5947,ANAMBE,MACHO,MOSQUEIRO,85.124,21.051,15.062,14.584
5948,PICA-PAU,FEMEA,MOSQUEIRO,53.294,20.0,21.697,10.494
5949,ANAMBE,MACHO,MOSQUEIRO,83.633,20.193,13.839,13.409
5950,PICA-PAU,FEMEA,MOSQUEIRO,53.406,19.276,19.904,10.554
5951,ARARA AZUL,MACHO,MARAJO,1435.05,93.857,103.619,37.187
5952,ANAMBE,FEMEA,MOSQUEIRO,73.589,18.319,12.634,17.341
5953,ANAMBE,FEMEA,MOSQUEIRO,69.816,17.177,12.377,11.387
5954,PICA-PAU,FEMEA,MOSQUEIRO,51.493,23.755,24.823,10.164
5955,PICA-PAU,FEMEA,MOSQUEIRO,54.77,20.057,21.682,11.129
5956,ARARA AZUL,MACHO,MARAJO,1402.157,95.249,101.856,39.63
5957,PICA-PAU,FEMEA,MOSQUEIRO,56.197,23.641,22.399,8.589
5958,ANAMBE,MACHO,MOSQUEIRO,83.986,24.267,14.872,9.778
5959,PICA-PAU,MACHO,MOSQUEIRO,55.573,22.245,23.343,11.923
5960,ANAMBE,FEMEA,MOSQUEIRO,78.113,17.662,11.643,14.73
5961,ANAMBE,FEMEA,MARAJO,78.435,18.953,14.931,9.723
5962,ARARA AZUL,MACHO,MARAJO,1501.23,91.979,109.983,37.078
5963,ANAMBE,MACHO,MOSQUEIRO,82.501,23.129,15.427,14.395
5964,PICA-PAU,FEMEA,MOSQUEIRO,42.046,21.12,23.059,8.85
5965,ANAMBE,FEMEA,MOSQUEIRO,83.248,15.55,10.813,13.863
5966,ANAMBE,MACHO,MARAJO,86.485,22.375,18.972,14.016
5967,ANAMBE,FEMEA,MOSQUEIRO,63.901,16.684,14.245,15.396
5968,PICA-PAU,FEMEA,MOSQUEIRO,55.021,21.803,20.441,9.607
5969,ARARA AZUL,MACHO,MARAJO,1261.324,100.0,98.872,36.073
5970,ARARA AZUL,MACHO,MARAJO,1340.579,95.976,94.674,41.245
5971,ARARA AZUL,MACHO,MARAJO,1431.761,104.947,95.596,37.402
5972,ARARA AZUL,FEMEA,MARAJO,1345.242,87.408,87.236,28.009
5973,ANAMBE,MACHO,MOSQUEIRO,82.071,18.335,15.637,13.447
5974,ANAMBE,FEMEA,MOSQUEIRO,75.97,16.947,16.105,13.084
5975,ANAMBE,MACHO,MOSQUEIRO,83.843,25.166,14.735,15.719
5976,ANAMBE,MACHO,MOSQUEIRO,82.358,20.352,15.605,14.439
5977,PICA-PAU,FEMEA,MOSQUEIRO,65.725,22.559,23.135,9.319
5978,ANAMBE,FEMEA,MOSQUEIRO,65.778,15.935,13.717,15.637
5979,PICA-PAU,MACHO,MOSQUEIRO,72.415,21.407,23.53,11.163
5980,ARARA AZUL,MACHO,MARAJO,1237.492,96.452,101.043,41.659
5981,ARARA AZUL,MACHO,MARAJO,1630.22,109.784,99.142,38.329
5982,ANAMBE,MACHO,MOSQUEIRO,83.336,20.73,14.44,11.198
5983,ARARA AZUL,MACHO,MARAJO,1533.936,94.79,98.36,40.97
5984,PICA-PAU,FEMEA,MOSQUEIRO,52.466,23.131,23.14,8.666
5985,ANAMBE,FEMEA,MARAJO,70.898,19.07,15.446,11.559
5986,ARARA AZUL,MACHO,MARAJO,1296.536,108.87,91.815,39.924
5987,PICA-PAU,MACHO,MOSQUEIRO,66.222,21.996,24.153,11.649
5988,PICA-PAU,MACHO,MOSQUEIRO,65.005,22.502,25.378,11.713
5989,PICA-PAU,FEMEA,MOSQUEIRO,63.416,18.036,20.176,9.496
5990,ANAMBE,FEMEA,MOSQUEIRO,72.963,18.837,12.337,10.245
5991,ANAMBE,MACHO,MOSQUEIRO,74.815,19.83,16.351,13.884
5992,ANAMBE,FEMEA,MOSQUEIRO,62.362,18.006,13.599,11.824
5993,ARARA AZUL,FEMEA,MARAJO,999.788,87.215,87.644,25.865
5994,PICA-PAU,MACHO,MOSQUEIRO,69.365,22.167,22.957,11.803
5995,ANAMBE,FEMEA,MOSQUEIRO,65.016,18.425,12.573,14.602
5996,ANAMBE,MACHO,MOSQUEIRO,79.315,21.338,14.328,12.61
5997,ARARA AZUL,FEMEA,MARAJO,1122.547,87.739,87.784,34.734
5998,ARARA AZUL,FEMEA,MARAJO,1086.308,90.091,91.23,29.117
5999,ARARA AZUL,FEMEA,MARAJO,1068.718,92.465,84.225,34.315
6000,ANAMBE,FEMEA,MOSQUEIRO,70.352,17.456,13.055,10.976
6001,PICA-PAU,FEMEA,MOSQUEIRO,46.002,23.634,21.359,10.548
6002,PICA-PAU,FEMEA,MOSQUEIRO,54.17,20.328,25.026,9.974
6003,ANAMBE,MACHO,MOSQUEIRO,77.029,18.042,17.501,12.713
6004,PICA-PAU,MACHO,MOSQUEIRO,58.28,21.042,25.14,12.787
6005,ANANBE,MACHO,MOSQUEIRO,85.825,19.287,14.565,13.54
6006,ARARA AZUL,MACHO,MARAJO,1396.008,100.816,90.236,39.006
6007,ANAMBE,MACHO,MOSQUEIRO,78.082,20.5,15.585,13.641
6008,PICA-PAU,FEMEA,MOSQUEIRO,50.438,20.604,23.082,9.808
6009,ARARA AZUL,FEMEA,MARAJO,1060.745,87.188,91.168,36.687
6010,ANAMBE,FEMEA,MOSQUEIRO,74.884,14.303,13.226,12.843
6011,ARARA AZUL,MACHO,MARAJO,1289.835,103.018,95.056,40.235
6012,ANAMBE,FEMEA,MOSQUEIRO,66.928,17.736,12.646,13.872
6013,ANAMBE,MACHO,MARAJO,78.844,23.609,16.964,13.99
6014,ARARA AZUL,FEMEA,MARAJO,978.059,96.625,89.519,33.398
6015,ANAMBE,MACHO,MOSQUEIRO,74.733,21.91,15.722,12.783
6016,ANAMBE,MACHO,MARAJO,93.531,22.091,18.37,13.33
6017,ARARA AZUL,MACHO,MARAJO,1413.915,96.989,101.382,39.544
6018,PICA-PAU,MACHO,MOSQUEIRO,63.702,22.532,23.664,11.208
6019,ARARA AZUL,MACHO,MARAJO,1378.953,96.749,93.751,34.889
6020,ANAMBE,FEMEA,MOSQUEIRO,66.954,17.943,13.438,12.307
6021,ANAMBE,MACHO,MOSQUEIRO,81.286,22.942,15.553,12.306
6022,PICA-PAU,FEMEA,MOSQUEIRO,62.569,21.667,22.686,13.122
6023,ARARA AZUL,MACHO,MARAJO,1498.812,100.535,91.772,35.316
6024,ANAMBE,MACHO,,79.091,20.06,15.229,11.929
6025,ANAMBE,MACHO,MOSQUEIRO,77.118,21.397,14.156,14.013
6026,ANAMBE,MACHO,MOSQUEIRO,74.798,18.853,15.051,10.241
6027,PICA-PAU,MACHO,MOSQUEIRO,62.7,20.591,25.611,12.672
6028,ANAMBE,MACHO,MOSQUEIRO,80.89,23.25,14.47,12.899
6029,ANAMBE,FEMEA,MOSQUEIRO,68.246,19.51,12.818,15.16
6030,ARARA AZUL,FEMEA,MARAJO,988.975,88.287,95.356,29.632
6031,ANAMBE,MACHO,MOSQUEIRO,72.269,,14.996,15.322
6032,PICA-PAU,FEMEA,MOSQUEIRO,63.973,20.356,21.788,9.773
6033,ANANBE,FEMEA,MARAJO,62.113,17.207,14.337,11.735
6034,ANAMBE,MACHO,MOSQUEIRO,91.649,20.323,15.064,12.465
6035,PICA-PAU,FEMEA,MOSQUEIRO,56.277,23.024,22.58,8.897
6036,ANAMBE,MACHO,MOSQUEIRO,84.107,18.584,15.566,13.365
6037,ANAMBE,FEMEA,MARAJO,72.557,18.936,15.734,12.999
6038,ARARA AZUL,FEMEA,MARAJO,1188.532,98.379,94.153,27.517
6039,ANAMBE,MACHO,MOSQUEIRO,86.017,17.994,15.626,10.895
6040,ANAMBE,FEMEA,MOSQUEIRO,69.058,,13.764,11.673
6041,ARARA AZUL,FEMEA,MARAJO,1074.287,100.858,94.648,32.02
6042,ARARA AZUL,FEMEA,MARAJO,1139.757,93.506,91.427,30.387
6043,ARARA AZUL,MACHO,MARAJO,1267.277,94.931,96.029,39.188
6044,PICA-PAU,MACHO,MOSQUEIRO,71.767,20.959,25.16,11.041
6045,ANAMBE,MACHO,MOSQUEIRO,84.132,18.718,15.437,11.38
6046,ANAMBE,FEMEA,MOSQUEIRO,67.166,19.421,12.863,14.522
6047,ANAMBE,FEMEA,MOSQUEIRO,78.661,18.23,13.19,16.277
6048,ARARA AZUL,MACHO,MARAJO,1521.796,109.719,92.92,34.977
6049,ANAMBE,MACHO,MOSQUEIRO,79.297,21.278,14.039,13.637
6050,ARARA AZUL,FEMEA,MARAJO,1070.896,88.79,89.009,31.667
6051,ANAMBE,FEMEA,MOSQUEIRO,68.32,17.83,11.85,17.236
6052,ARARA AZUL,MACHO,MARAJO,1234.492,94.82,103.147,42.188
6053,ANAMBE,MACHO,MOSQUEIRO,76.13,19.53,14.988,13.533
6054,ARARA AZUL,FEMEA,MARAJO,875.118,87.115,86.438,33.657
